Cleanup Plan (EXECUTE) - 20250818_140734
FROM: /mnt/c/repos/caliper/bulk_llamacloud_managed_download.ps1 -> TO: /mnt/c/repos/caliper/scripts/bulk_llamacloud_managed_download.ps1
FROM: /mnt/c/repos/caliper/bulk_llamacloud_managed_download.ps1.bak -> TO: /mnt/c/repos/caliper/archive/20250818_140734/misc/bulk_llamacloud_managed_download.ps1.bak
FROM: /mnt/c/repos/caliper/caliper.bat -> TO: /mnt/c/repos/caliper/scripts/caliper.bat
FROM: /mnt/c/repos/caliper/claude_update_prompt.md -> TO: /mnt/c/repos/caliper/notes/archive/legacy/claude_update_prompt.md
FROM: /mnt/c/repos/caliper/config.toml -> TO: /mnt/c/repos/caliper/archive/20250818_140734/misc/config.toml
FROM: /mnt/c/repos/caliper/debug_llamacloud_jobs.ps1 -> TO: /mnt/c/repos/caliper/scripts/debug_llamacloud_jobs.ps1
FROM: /mnt/c/repos/caliper/debug_llamacloud_raw.ps1 -> TO: /mnt/c/repos/caliper/scripts/debug_llamacloud_raw.ps1
FROM: /mnt/c/repos/caliper/download_cost_data.bat -> TO: /mnt/c/repos/caliper/scripts/download_cost_data.bat
FROM: /mnt/c/repos/caliper/download_cost_data.sh -> TO: /mnt/c/repos/caliper/scripts/download_cost_data.sh
FROM: /mnt/c/repos/caliper/download_design-guidance-2025-08-16-managed_jobs.ps1 -> TO: /mnt/c/repos/caliper/scripts/download_design-guidance-2025-08-16-managed_jobs.ps1
FROM: /mnt/c/repos/caliper/download_design.log -> TO: /mnt/c/repos/caliper/logs/download_design.log
FROM: /mnt/c/repos/caliper/download_federal-2025-08-16-managed_jobs.ps1 -> TO: /mnt/c/repos/caliper/scripts/download_federal-2025-08-16-managed_jobs.ps1
FROM: /mnt/c/repos/caliper/download_federal.log -> TO: /mnt/c/repos/caliper/logs/download_federal.log
FROM: /mnt/c/repos/caliper/download_llamaparse_artifacts.ps1 -> TO: /mnt/c/repos/caliper/scripts/download_llamaparse_artifacts.ps1
FROM: /mnt/c/repos/caliper/download_wa-2025-08-16-managed_jobs.ps1 -> TO: /mnt/c/repos/caliper/scripts/download_wa-2025-08-16-managed_jobs.ps1
FROM: /mnt/c/repos/caliper/download_wa.log -> TO: /mnt/c/repos/caliper/logs/download_wa.log
FROM: /mnt/c/repos/caliper/extract_jobs_by_index.ps1 -> TO: /mnt/c/repos/caliper/scripts/extract_jobs_by_index.ps1
FROM: /mnt/c/repos/caliper/extract_llamacloud_jobs.ps1 -> TO: /mnt/c/repos/caliper/scripts/extract_llamacloud_jobs.ps1
FROM: /mnt/c/repos/caliper/generate_all_metadata.ps1 -> TO: /mnt/c/repos/caliper/scripts/generate_all_metadata.ps1
FROM: /mnt/c/repos/caliper/google-credentials.json -> TO: /mnt/c/repos/caliper/archive/20250818_140734/misc/google-credentials.json
FROM: /mnt/c/repos/caliper/gpt5.py -> TO: /mnt/c/repos/caliper/archive/20250818_140734/misc/gpt5.py
FROM: /mnt/c/repos/caliper/index_knowledge_base_commands.sh -> TO: /mnt/c/repos/caliper/scripts/index_knowledge_base_commands.sh
FROM: /mnt/c/repos/caliper/jobs_design-guidance-2025-08-16-managed.csv -> TO: /mnt/c/repos/caliper/data_v2/jobs/jobs_design-guidance-2025-08-16-managed.csv
FROM: /mnt/c/repos/caliper/jobs_federal-2025-08-16-managed.csv -> TO: /mnt/c/repos/caliper/data_v2/jobs/jobs_federal-2025-08-16-managed.csv
FROM: /mnt/c/repos/caliper/jobs_wa-2025-08-16-managed.csv -> TO: /mnt/c/repos/caliper/data_v2/jobs/jobs_wa-2025-08-16-managed.csv
FROM: /mnt/c/repos/caliper/knowledge_base_reorganization_preview.md -> TO: /mnt/c/repos/caliper/notes/archive/legacy/knowledge_base_reorganization_preview.md
FROM: /mnt/c/repos/caliper/ll_mapping.csv -> TO: /mnt/c/repos/caliper/data_v2/jobs/ll_mapping.csv
FROM: /mnt/c/repos/caliper/ll_uploaded_files.csv -> TO: /mnt/c/repos/caliper/archive/20250818_140734/misc/ll_uploaded_files.csv
FROM: /mnt/c/repos/caliper/llama-cloud-history.json -> TO: /mnt/c/repos/caliper/data_v2/jobs/llama-cloud-history.json
FROM: /mnt/c/repos/caliper/llamacloud_metadata.csv -> TO: /mnt/c/repos/caliper/data_v2/metadata/llamacloud_metadata.csv
FROM: /mnt/c/repos/caliper/metadata_design_index.csv -> TO: /mnt/c/repos/caliper/data_v2/metadata/metadata_design_index.csv
FROM: /mnt/c/repos/caliper/metadata_design_index_for_b45e.csv -> TO: /mnt/c/repos/caliper/data_v2/metadata/metadata_design_index_for_b45e.csv
FROM: /mnt/c/repos/caliper/metadata_federal_index.csv -> TO: /mnt/c/repos/caliper/data_v2/metadata/metadata_federal_index.csv
FROM: /mnt/c/repos/caliper/metadata_federal_index_for_344b.csv -> TO: /mnt/c/repos/caliper/data_v2/metadata/metadata_federal_index_for_344b.csv
FROM: /mnt/c/repos/caliper/metadata_wa_index.csv -> TO: /mnt/c/repos/caliper/data_v2/metadata/metadata_wa_index.csv
FROM: /mnt/c/repos/caliper/metadata_wa_index_UPLOAD.csv -> TO: /mnt/c/repos/caliper/data_v2/metadata/metadata_wa_index_UPLOAD.csv
FROM: /mnt/c/repos/caliper/metadata_wa_index_for_03f7.csv -> TO: /mnt/c/repos/caliper/data_v2/metadata/metadata_wa_index_for_03f7.csv
FROM: /mnt/c/repos/caliper/metadata_wa_index_for_747c.csv -> TO: /mnt/c/repos/caliper/data_v2/metadata/metadata_wa_index_for_747c.csv
FROM: /mnt/c/repos/caliper/metadata_wa_index_mapped.csv -> TO: /mnt/c/repos/caliper/data_v2/metadata/metadata_wa_index_mapped.csv
FROM: /mnt/c/repos/caliper/monitor_progress.sh -> TO: /mnt/c/repos/caliper/scripts/monitor_progress.sh
FROM: /mnt/c/repos/caliper/organize_tekoa_files.sh -> TO: /mnt/c/repos/caliper/scripts/organize_tekoa_files.sh
FROM: /mnt/c/repos/caliper/reorganize_knowledge_base.py -> TO: /mnt/c/repos/caliper/archive/20250818_140734/misc/reorganize_knowledge_base.py
FROM: /mnt/c/repos/caliper/state.txt -> TO: /mnt/c/repos/caliper/archive/20250818_140734/misc/state.txt
FROM: /mnt/c/repos/caliper/test_download_wa.ps1 -> TO: /mnt/c/repos/caliper/scripts/test_download_wa.ps1
FROM: /mnt/c/repos/caliper/test_llamacloud_retrieve.ps1 -> TO: /mnt/c/repos/caliper/scripts/test_llamacloud_retrieve.ps1
FROM: /mnt/c/repos/caliper/test_metadata_wa.csv -> TO: /mnt/c/repos/caliper/data_v2/metadata/test_metadata_wa.csv
FROM: /mnt/c/repos/caliper/test_metadata_wa_enriched.csv -> TO: /mnt/c/repos/caliper/data_v2/metadata/test_metadata_wa_enriched.csv
FROM: /mnt/c/repos/caliper/test_single_file.csv -> TO: /mnt/c/repos/caliper/archive/20250818_140734/tests/test_single_file.csv
